ISO3,Country,SchoolType,Service Type,Year,Coverage,School-age population,ServiceLevel
AFG,Afghanistan,primary,Drinking water,2019,58.15,3693760.106,Basic service
AFG,Afghanistan,secondary,Drinking water,2019,74.06667,4187024.959,Basic service
ALB,Albania,primary,Drinking water,2019,55.84374,89032.22515,Basic service
ALB,Albania,secondary,Drinking water,2019,66.25047,178415.1568,Basic service
AND,Andorra,primary,Drinking water,2019,100,7343,Basic service
AND,Andorra,secondary,Drinking water,2019,100,8000,Basic service
ARE,United Arab Emirates,primary,Drinking water,2019,100,483932,Basic service
ARE,United Arab Emirates,secondary,Drinking water,2019,100,544496,Basic service
ARM,Armenia,secondary,Drinking water,2019,94.93,273323.4053,Basic service
ATG,Antigua and Barbuda,primary,Drinking water,2019,99.19355,9648.55661,Basic service
ATG,Antigua and Barbuda,secondary,Drinking water,2019,100,6970,Basic service
AUS,Australia,primary,Drinking water,2019,100,2270078,Basic service
AUS,Australia,secondary,Drinking water,2019,100,1828813,Basic service
AZE,Azerbaijan,primary,Drinking water,2019,100,490466,Basic service
AZE,Azerbaijan,secondary,Drinking water,2019,100,892424,Basic service
BDI,Burundi,primary,Drinking water,2019,44.52999,828209.7641,Basic service
BDI,Burundi,secondary,Drinking water,2019,52.00391,860578.9052,Basic service
BEL,Belgium,primary,Drinking water,2019,100,802098,Basic service
BEL,Belgium,secondary,Drinking water,2019,100,764858,Basic service
BEN,Benin,primary,Drinking water,2019,44.61415,833690.3445,Basic service
BFA,Burkina Faso,secondary,Drinking water,2019,42.12309,1368523.506,Basic service
BGD,Bangladesh,primary,Drinking water,2019,78.23459,11578665.36,Basic service
BGD,Bangladesh,secondary,Drinking water,2019,93.00136,20137535.86,Basic service
BHR,Bahrain,primary,Drinking water,2019,100,118149,Basic service
BHR,Bahrain,secondary,Drinking water,2019,100,105036,Basic service
BLR,Belarus,primary,Drinking water,2019,100,439718,Basic service
BLR,Belarus,secondary,Drinking water,2019,100,645882,Basic service
BRB,Barbados,primary,Drinking water,2019,100,19828,Basic service
BRB,Barbados,secondary,Drinking water,2019,100,18617,Basic service
BTN,Bhutan,primary,Drinking water,2019,58.29073,52640.02526,Basic service
BTN,Bhutan,secondary,Drinking water,2019,63.08835,52637.13353,Basic service
CAF,Central African Republic,primary,Drinking water,2019,15.95,130419.641,Basic service
CHE,Switzerland,primary,Drinking water,2019,100,492580,Basic service
CHE,Switzerland,secondary,Drinking water,2019,100,592793,Basic service
CMR,Cameroon,primary,Drinking water,2019,34.09698,1418688.258,Basic service
COK,Cook Islands,primary,Drinking water,2019,100,1626,Basic service
COK,Cook Islands,secondary,Drinking water,2019,100,1889,Basic service
CRI,Costa Rica,primary,Drinking water,2019,86.03497,368085.1329,Basic service
CRI,Costa Rica,secondary,Drinking water,2019,75.64865,269876.5493,Basic service
CUB,Cuba,primary,Drinking water,2019,100,729647,Basic service
CUB,Cuba,secondary,Drinking water,2019,100,769386,Basic service
CYM,Cayman Islands,primary,Drinking water,2019,100,6182,Basic service
CYM,Cayman Islands,secondary,Drinking water,2019,100,6735,Basic service
DEU,Germany,primary,Drinking water,2019,100,2923401,Basic service
DEU,Germany,secondary,Drinking water,2019,100,7098011,Basic service
DMA,Dominica,primary,Drinking water,2019,100,6121,Basic service
DMA,Dominica,secondary,Drinking water,2019,100,4812,Basic service
DNK,Denmark,primary,Drinking water,2019,100,460641,Basic service
DNK,Denmark,secondary,Drinking water,2019,100,406488,Basic service
DZA,Algeria,primary,Drinking water,2019,85.3,3589466.65,Basic service
DZA,Algeria,secondary,Drinking water,2019,98.2,4244652.774,Basic service
ECU,Ecuador,primary,Drinking water,2019,87,1637203.41,Basic service
ECU,Ecuador,secondary,Drinking water,2019,95.5,1782807.37,Basic service
ESP,Spain,primary,Drinking water,2019,100,2967048,Basic service
ESP,Spain,secondary,Drinking water,2019,100,2716948,Basic service
EST,Estonia,primary,Drinking water,2019,100,91514,Basic service
EST,Estonia,secondary,Drinking water,2019,100,74420,Basic service
ETH,Ethiopia,primary,Drinking water,2019,14.868,2502908.261,Basic service
ETH,Ethiopia,secondary,Drinking water,2019,22.0248,3411623.68,Basic service
FIN,Finland,primary,Drinking water,2019,100,371416,Basic service
FIN,Finland,secondary,Drinking water,2019,100,354271,Basic service
FRA,France,primary,Drinking water,2019,100,4245645,Basic service
FRA,France,secondary,Drinking water,2019,100,5761170,Basic service
GHA,Ghana,primary,Drinking water,2019,76.38602,3314976.816,Basic service
GHA,Ghana,secondary,Drinking water,2019,79.12117,3493555.701,Basic service
GIB,Gibraltar,primary,Drinking water,2019,100,2681,Basic service
GIB,Gibraltar,secondary,Drinking water,2019,100,1855,Basic service
GIN,Guinea,primary,Drinking water,2019,9.49871,194950.2002,Basic service
GRD,Grenada,primary,Drinking water,2019,100,12533,Basic service
GRD,Grenada,secondary,Drinking water,2019,98.6,7521.208,Basic service
HKG,"China, Hong Kong Special Administrative Region",primary,Drinking water,2019,100,344220,Basic service
HKG,"China, Hong Kong Special Administrative Region",secondary,Drinking water,2019,100,316862,Basic service
HND,Honduras,primary,Drinking water,2019,64.63,780155.193,Basic service
HND,Honduras,secondary,Drinking water,2019,51.54,535494.4152,Basic service
HUN,Hungary,primary,Drinking water,2019,100,381632,Basic service
HUN,Hungary,secondary,Drinking water,2019,100,777827,Basic service
IDN,Indonesia,primary,Drinking water,2019,72.02755,19980289.93,Basic service
IDN,Indonesia,secondary,Drinking water,2019,74.94953,20992477.63,Basic service
IND,India,primary,Drinking water,2019,66.85601,82899101.45,Basic service
IND,India,secondary,Drinking water,2019,75.49179,133947081.8,Basic service
ISR,Israel,primary,Drinking water,2019,100,915685,Basic service
ISR,Israel,secondary,Drinking water,2019,100,807267,Basic service
ITA,Italy,primary,Drinking water,2019,100,2807694,Basic service
ITA,Italy,secondary,Drinking water,2019,100,4585680,Basic service
JAM,Jamaica,primary,Drinking water,2019,93.92449,256934.1994,Basic service
JAM,Jamaica,secondary,Drinking water,2019,95.88538,228174.5957,Basic service
KHM,Cambodia,primary,Drinking water,2019,80.10435,1627401.63,Basic service
KHM,Cambodia,secondary,Drinking water,2019,76.0469,1357081.286,Basic service
KNA,Saint Kitts and Nevis,primary,Drinking water,2019,78.79,3908.7719,Basic service
KNA,Saint Kitts and Nevis,secondary,Drinking water,2019,100,3672,Basic service
KOR,Republic of Korea,primary,Drinking water,2019,100,2730011,Basic service
KOR,Republic of Korea,secondary,Drinking water,2019,100,2937860,Basic service
KWT,Kuwait,primary,Drinking water,2019,100,313976,Basic service
KWT,Kuwait,secondary,Drinking water,2019,100,342532,Basic service
LBN,Lebanon,primary,Drinking water,2019,59.7,389590.857,Basic service
LBN,Lebanon,secondary,Drinking water,2019,60.6,430818.126,Basic service
LBR,Liberia,primary,Drinking water,2019,44.18011,341476.0226,Basic service
LBR,Liberia,secondary,Drinking water,2019,64.81037,437170.5736,Basic service
LCA,Saint Lucia,primary,Drinking water,2019,99.16667,15207.20833,Basic service
LCA,Saint Lucia,secondary,Drinking water,2019,100,12679,Basic service
LKA,Sri Lanka,primary,Drinking water,2019,84.44383,1441067.793,Basic service
LKA,Sri Lanka,secondary,Drinking water,2019,87.81625,2398612.981,Basic service
LVA,Latvia,primary,Drinking water,2019,100,118488,Basic service
LVA,Latvia,secondary,Drinking water,2019,100,51163,Basic service
MAC,"China, Macao Special Administrative Region",primary,Drinking water,2019,100,32099,Basic service
MAC,"China, Macao Special Administrative Region",secondary,Drinking water,2019,100,25755,Basic service
MAR,Morocco,primary,Drinking water,2019,73.99082,2857536.438,Basic service
MAR,Morocco,secondary,Drinking water,2019,90.6,3259490.832,Basic service
MCO,Monaco,primary,Drinking water,2019,100,3709,Basic service
MCO,Monaco,secondary,Drinking water,2019,100,4041,Basic service
MDV,Maldives,primary,Drinking water,2019,100,50361,Basic service
MDV,Maldives,secondary,Drinking water,2019,100,26182,Basic service
MEX,Mexico,secondary,Drinking water,2019,49.04,6610314.434,Basic service
MHL,Marshall Islands,primary,Drinking water,2019,3.19,290.0667,Basic service
MLI,Mali,primary,Drinking water,2019,70.07705,2368689.245,Basic service
MMR,Myanmar,primary,Drinking water,2019,71.87072,3336217.416,Basic service
MMR,Myanmar,secondary,Drinking water,2019,81.6782,4931255.293,Basic service
MNG,Mongolia,primary,Drinking water,2019,72.7,229889.759,Basic service
MNG,Mongolia,secondary,Drinking water,2019,73.4,236381.03,Basic service
MSR,Montserrat,primary,Drinking water,2019,100,415,Basic service
MSR,Montserrat,secondary,Drinking water,2019,100,329,Basic service
MUS,Mauritius,primary,Drinking water,2019,100,86143,Basic service
MUS,Mauritius,secondary,Drinking water,2019,100,125673,Basic service
MWI,Malawi,primary,Drinking water,2019,87.27,2801223.005,Basic service
MWI,Malawi,secondary,Drinking water,2019,81.7,2255183.074,Basic service
MYS,Malaysia,primary,Drinking water,2019,97.13521,2934402.14,Basic service
MYS,Malaysia,secondary,Drinking water,2019,98.90087,3373544.139,Basic service
NER,Niger,primary,Drinking water,2019,16.13193,647737.9252,Basic service
